Year,Mileage_km,Engine_HP,Doors,Fuel_Type,Make,Transmission,Condition,Target_Price_USD
2017,82000,132,4,Petrol,Honda,Manual,Good,15500
2020,32000,168,4,Petrol,Toyota,Automatic,Excellent,27000
2016,102000,127,4,Diesel,Ford,Manual,Good,13200
2022,9000,235,2,Petrol,BMW,Automatic,Excellent,58000
2019,46000,153,4,Petrol,Honda,Automatic,Good,22000
2021,17000,183,4,Petrol,Toyota,Automatic,Excellent,34500
2015,123000,121,4,Diesel,Ford,Manual,Good,11200
2023,400,305,4,Electric,BMW,Automatic,New,76000
2018,63000,148,4,Diesel,Honda,Manual,Good,19500
2020,27000,167,4,Petrol,Toyota,Automatic,Excellent,30000
2016,92000,126,4,Diesel,Ford,Manual,Good,14500
2022,5500,255,2,Petrol,BMW,Automatic,Excellent,62000
2019,47000,151,4,Petrol,Honda,Automatic,Good,23000
2021,13000,188,4,Petrol,Toyota,Automatic,Excellent,40000
2015,118000,116,4,Diesel,Ford,Manual,Good,11500
2023,250,325,4,Electric,BMW,Automatic,New,80000
2017,78000,138,4,Petrol,Honda,Manual,Good,16500
2020,33000,178,4,Petrol,Toyota,Automatic,Excellent,31000
2016,108000,133,4,Diesel,Ford,Manual,Good,12800
2022,7500,215,2,Petrol,BMW,Automatic,Excellent,56000
2019,49000,149,4,Petrol,Honda,Automatic,Good,20500
2021,19000,182,4,Petrol,Toyota,Automatic,Excellent,37500
2015,128000,112,4,Diesel,Ford,Manual,Good,10800
2023,350,295,4,Electric,BMW,Automatic,New,74000
2018,68000,147,4,Diesel,Honda,Manual,Good,17500
2020,26000,177,4,Petrol,Toyota,Automatic,Excellent,32000
2016,112000,131,4,Diesel,Ford,Manual,Good,12300
2022,6500,230,2,Petrol,BMW,Automatic,Excellent,59000
2019,44000,154,4,Petrol,Honda,Automatic,Good,23500
2021,14000,198,4,Petrol,Toyota,Automatic,Excellent,41000
2015,122000,117,4,Diesel,Ford,Manual,Good,11800
2023,550,302,4,Electric,BMW,Automatic,New,75500
2018,61000,146,4,Diesel,Honda,Manual,Good,19800
2020,29000,166,4,Petrol,Toyota,Automatic,Excellent,28500
2016,99000,129,4,Diesel,Ford,Manual,Good,13800
2022,5800,252,2,Petrol,BMW,Automatic,Excellent,63000
2019,43000,156,4,Petrol,Honda,Automatic,Good,24000
2021,11000,192,4,Petrol,Toyota,Automatic,Excellent,43000
2015,135000,113,4,Diesel,Ford,Manual,Good,10300
2023,600,340,4,Electric,BMW,Automatic,New,82000
2017,85000,137,4,Petrol,Honda,Manual,Good,15000
2020,38000,173,4,Petrol,Toyota,Automatic,Excellent,25000
2016,106000,134,4,Diesel,Ford,Manual,Good,12000
2022,8800,218,2,Petrol,BMW,Automatic,Excellent,54000
2019,52000,158,4,Petrol,Honda,Automatic,Good,20000
2021,22000,187,4,Petrol,Toyota,Automatic,Excellent,37000
2015,112000,119,4,Diesel,Ford,Manual,Good,13000
2023,700,315,4,Electric,BMW,Automatic,New,78500
2018,72000,144,4,Diesel,Honda,Manual,Good,16800
2020,25000,169,4,Petrol,Toyota,Automatic,Excellent,30500
2016,97000,124,4,Diesel,Ford,Manual,Good,14200
2022,6200,232,2,Petrol,BMW,Automatic,Excellent,61000
2019,41000,157,4,Petrol,Honda,Automatic,Good,24500
2021,16000,197,4,Petrol,Toyota,Automatic,Excellent,39500
2015,132000,111,4,Diesel,Ford,Manual,Good,10600
2023,450,335,4,Electric,BMW,Automatic,New,81000
2017,79000,139,4,Petrol,Honda,Manual,Good,17200
2020,31000,179,4,Petrol,Toyota,Automatic,Excellent,27500
2016,103000,136,4,Diesel,Ford,Manual,Good,12700
2022,7900,212,2,Petrol,BMW,Automatic,Excellent,53000
2019,54000,145,4,Petrol,Honda,Automatic,Good,19500
2021,24000,181,4,Petrol,Toyota,Automatic,Excellent,36500
2015,117000,120,4,Diesel,Ford,Manual,Good,12200
2023,380,290,4,Electric,BMW,Automatic,New,73000
2018,66000,141,4,Diesel,Honda,Manual,Good,18200
2020,34000,164,4,Petrol,Toyota,Automatic,Excellent,25500
2016,109000,135,4,Diesel,Ford,Manual,Good,11800
2022,6800,228,2,Petrol,BMW,Automatic,Excellent,58500
